MSOA_name,MSOA_code,Rec_obesity,Rec_overweight,Y6_obesity,Y6_overweight,Sum,"L1, L2 and L3","L4, L5 and L6",L7,L8 and L9,L10 and L11,L12,L13,L14.1 and L14.2,L15,x,y
Oldham 035,,11.38211382,21.13821138,27.46478873,42.25352113,0,,,,,,,,,,,
Rochdale 001,E02001132,10.25641026,23.07692308,17.77777778,33.33333333,1720,238,412,213,240,118,187,238,62,12,393625.8544,416777.2632
Rochdale 002,E02001133,10.20408163,26.53061224,15.55555556,33.33333333,1718,271,457,207,218,122,159,226,44,14,392169.0751,416536.4543
Rochdale 003,E02001134,8.333333333,22.22222222,16.66666667,30.55555556,1621,317,447,178,212,115,140,172,33,7,392856.6711,415280.4347
Rochdale 004,E02001135,12.82051282,24.35897436,28.08988764,43.82022472,1945,125,284,182,274,120,288,413,236,23,391251.3628,415257.8366
Rochdale 005,E02001136,9.803921569,21.56862745,27.27272727,42.42424242,2217,300,447,238,323,146,265,358,124,16,389340.3127,415040.1224
Rochdale 006,E02001137,6.451612903,19.35483871,22.22222222,44.44444444,1636,315,458,189,277,95,123,132,41,6,387019.0662,414845.224
Rochdale 007,E02001138,8.888888889,17.77777778,15.68627451,27.45098039,2121,521,610,221,293,94,155,151,65,11,386595.2039,414125.6242
Rochdale 008,E02001139,12.12121212,21.21212121,25.74257426,40.59405941,2319,115,288,202,370,186,280,530,321,27,390555.1198,414003.7355
Rochdale 009,E02001140,9.523809524,25.3968254,20.58823529,35.29411765,1964,164,350,237,322,131,261,314,163,22,388248.3319,413910.5393
Rochdale 010,E02001141,12.94117647,23.52941176,26.41509434,40.56603774,2677,116,306,224,427,162,348,651,396,47,389217.1013,413381.2445
Rochdale 011,E02001142,13.04347826,21.73913043,22.22222222,38.88888889,1372,353,348,138,241,55,86,104,43,4,387079.5111,412721.3744
Rochdale 012,E02001143,12.22222222,26.66666667,28.57142857,44.89795918,2787,209,387,275,449,169,389,543,325,41,390882.3114,412545.0436
Rochdale 013,E02001144,12.5,21.875,25.71428571,42.85714286,1631,224,364,204,190,130,187,255,64,13,392322.4921,412702.8244
Rochdale 014,E02001145,8.823529412,35.29411765,19.56521739,34.7826087,1857,258,502,222,216,162,176,245,60,16,393289.0967,412450.5997
Rochdale 015,E02001146,12.32876712,21.91780822,25.27472527,40.65934066,2276,105,257,196,414,130,300,501,342,31,389776.9588,412264.1649
Rochdale 016,E02001147,11.84210526,25,26.92307692,41.02564103,2712,291,499,241,294,165,374,570,233,45,390169.7778,410930.552
Rochdale 017,E02001148,12.67605634,25.35211268,23.45679012,39.50617284,2637,264,514,350,341,184,354,428,182,20,388181.556,410682.8124
Rochdale 018,E02001149,17.1875,32.8125,26.58227848,40.50632911,2667,220,421,270,284,219,411,577,221,44,385187.2345,410576.6077
Rochdale 019,E02001150,13.55932203,27.11864407,26.08695652,43.47826087,2397,183,420,285,269,173,360,484,179,44,384057.2678,410545.4901
Rochdale 020,E02001151,8.695652174,23.1884058,20.28985507,36.23188406,2628,389,570,322,337,204,285,376,131,14,386130.2572,409958.6193
Rochdale 021,E02001152,12.30769231,27.69230769,24.32432432,36.48648649,2569,273,461,318,302,203,378,452,150,32,387130.163,407142.951
Rochdale 022,E02001153,12.37113402,24.74226804,31.53153153,44.14414414,3223,269,529,330,310,264,483,648,334,56,385839.4807,406833.6174
Rochdale 023,E02001154,10.71428571,23.21428571,25.33333333,38.66666667,2736,257,527,381,302,236,380,476,148,29,388210.5829,405962.754
Rochdale 024,E02001155,11.11111111,26.66666667,27.27272727,40.90909091,1816,195,409,226,200,125,226,298,117,20,386477.618,405799.386
Rochdale 025,E02001156,10.14492754,23.1884058,22.22222222,38.0952381,2458,453,649,314,308,173,207,244,90,20,387391.484,404666.9095
Salford 001,E02001157,11.68831169,28.57142857,27.47252747,43.95604396,2233,110,344,264,212,141,361,442,294,65,371927.7626,404382.6328
Salford 002,E02001158,14.89361702,29.78723404,29.09090909,47.27272727,1543,105,247,184,165,123,250,295,149,25,372756.2219,403868.045
Salford 003,E02001159,11.86440678,25.42372881,29.09090909,40,2067,318,481,295,180,146,257,269,103,18,374054.8466,403533.2717
Salford 004,E02001160,14.70588235,27.94117647,23.28767123,38.35616438,1929,229,345,193,196,132,264,326,201,43,371897.126,403194.771
Salford 005,E02001161,12.12121212,27.27272727,30.55555556,44.44444444,1523,168,329,195,173,128,204,226,76,24,377963.2334,402824.7334
Salford 006,E02001162,12.90322581,22.58064516,30,40,1454,163,260,196,158,127,175,257,93,25,377391.5776,402519.7709
Salford 007,E02001163,6.779661017,18.6440678,19.35483871,33.87096774,2581,497,678,333,302,173,230,255,88,25,373889.0454,402498.9441
Salford 008,E02001164,10.90909091,25.45454545,28.125,45.3125,1894,216,351,276,185,121,250,276,162,57,379445.4035,401914.1578
Salford 009,E02001165,13.95348837,27.90697674,25,36.36363636,1695,171,399,258,169,128,202,252,91,25,376919.6525,401908.1548
Salford 010,E02001166,,16,20.83333333,41.66666667,1458,317,358,188,243,36,119,119,64,14,383188.7869,401769.6752
Salford 011,E02001167,10.90909091,21.81818182,24.13793103,37.93103448,1713,273,342,182,223,89,182,234,148,40,381574.4465,401605.4475
